datetime,T_outdoor_C,T_inlet_C,Q_W,Q_kWh
2020-02-18 09:00:00,12.727596666666669,23.060863149999996,1559.956408023174,1.559956408023174
2020-02-18 10:00:00,12.361946666666665,23.6257924,1700.4408392098005,1.7004408392098005
2020-02-18 11:00:00,13.314628333333332,22.153899225000004,1334.4161105250132,1.3344161105250132
2020-02-18 12:00:00,14.813518333333333,19.838114175,758.5355989392878,0.7585355989392878
2020-02-18 13:00:00,14.022366666666665,21.060443500000005,1062.499750105751,1.062499750105751
2020-02-18 14:00:00,14.418424999999996,20.448533375000007,910.3322957776892,0.9103322957776891
2020-02-18 15:00:00,15.894339999999998,18.168244700000002,343.27888608315067,0.34327888608315066
2020-02-18 16:00:00,13.961666666666668,21.154224999999997,1085.8209725124993,1.0858209725124994
2020-02-18 17:00:00,12.8733,22.8357515,1503.97650947175,1.5039765094717499
2020-02-18 18:00:00,13.40583333333333,22.012987500000005,1299.3747251937511,1.299374725193751
2020-02-19 08:00:00,9.645006333333331,27.823465215000006,2744.3019558413685,2.7443019558413684
2020-02-19 09:00:00,10.227323559322034,26.923785100847457,2520.5729683856143,2.5205729683856144
2020-02-19 10:00:00,12.382238461538462,23.594441576923078,1692.6446372124808,1.6926446372124808
2020-02-19 11:00:00,15.172583333333332,19.283358750000005,620.5811553893759,0.6205811553893759
2020-02-19 12:00:00,11.563619999999997,24.859207100000006,2007.1616587579513,2.0071616587579513
2020-02-19 13:00:00,11.357501666666662,25.177659925000007,2086.3532813901643,2.0863532813901644
2020-02-19 14:00:00,12.563131666666669,23.314961574999998,1623.1446261965868,1.623144626196587
2020-02-19 15:00:00,14.019474999999998,21.064911125000002,1063.610741892563,1.063610741892563
2020-02-19 16:00:00,12.254621951219512,23.791609085365856,1741.6754942128355,1.7416754942128354
2020-02-20 08:00:00,12.151374999999993,23.95112562500001,1781.343453227815,1.781343453227815
2020-02-20 09:00:00,13.656903333333332,21.62508435,1202.9124630905753,1.2029124630905754
2020-02-20 10:00:00,15.171639999999996,19.28481620000001,620.9435884449018,0.6209435884449018
2020-02-20 11:00:00,16.032376666666668,17.987696866666667,295.18393633289986,0.29518393633289985
2020-02-20 12:00:00,15.967031666666664,18.055936075000005,315.3504095518387,0.3153504095518387
2020-02-20 13:00:00,16.02996,17.9886152,295.6874029404004,0.29568740294040036
2020-02-20 14:00:00,15.264383333333337,19.141527749999995,585.3111682898736,0.5853111682898736
2020-02-20 15:00:00,14.30960166666666,20.616665425000008,952.1427267449145,0.9521427267449145
2020-02-20 16:00:00,13.370491666666668,22.067590374999998,1312.953157954187,1.3129531579541869
2020-02-20 17:00:00,11.581991666666664,24.830822875000003,2000.1031789504382,2.000103178950438
2020-02-20 18:00:00,10.957249999999997,25.796048750000004,2240.131833894376,2.240131833894376
2020-02-21 08:00:00,11.032493333333331,25.679797800000003,2211.2229951581007,2.2112229951581006
2020-02-21 09:00:00,12.907798333333329,22.78245157500001,1490.7220893015897,1.4907220893015898
2020-02-21 10:00:00,14.285625,20.653709375000002,961.3546736296878,0.9613546736296879
2020-02-21 11:00:00,15.717546666666667,18.4413904,411.2037072807998,0.4112037072807998
2020-02-21 12:00:00,16.132466666666666,17.94966266666667,274.33208554200036,0.27433208554200034
2020-02-21 13:00:00,16.123821666666668,17.952947766666668,276.13310712345,0.27613310712344996
2020-02-21 14:00:00,16.039419999999996,17.9850204,293.71659158580053,0.29371659158580055
2020-02-21 15:00:00,15.299714999999996,19.086940325000008,571.7365775759642,0.5717365775759643
2020-02-21 16:00:00,13.637806666666666,21.6545887,1210.2494912711502,1.2102494912711501
2020-02-21 17:00:00,12.782839999999997,22.975512200000004,1538.731662336901,1.5387316623369012
